Survey ID,Age,Gender,Marital Status,Education,Occupation,Income,Area,Cash Over E Money,Bank Account,Have E-Wallet,Use E-Wallet,E-Wallet Name,E-Wallet Usage Purpose,E-Wallet Usage Reason,Scam or Security reasons,Internet instability or unavailability,Lack of interest,Lack of knowledge,User Satisfaction,Non-Satisfaction Reason,Usage Continuation,Finance Management,General Lack of Trust,E-wallet usage medium
221,31 - 50,Transgender,Married,Matriculation/ O-Levels,Business,Medium,Urban area,Yes,No,Yes,Yes,"Easypaisa, Jazzcash","To send money, To receive money",Easy to use,No,No,No,No,No,"Scam or security reasons, Fear of hidden charges, Inconvenience",Maybe,Maybe,Yes,Mobile Application
222,Above 50,Transgender,Single,No formal education or below matric,Unemployed,Low,Urban area,Yes,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Not Applicable
223,31 - 50,Transgender,Single,No formal education or below matric,Unemployed,Low,Urban area,Yes,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Not Applicable
224,31 - 50,Transgender,Single,No formal education or below matric,Unemployed,Low,Urban area,Yes,No,Yes,Yes,Jazzcash,"To send money, To receive money",Convenience,No,No,No,No,Yes,Not applicable,Yes,No,No,Without Mobile Application
225,31 - 50,Transgender,Single,No formal education or below matric,Unemployed,Low,Rural area,Yes,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,Yes,No,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Not Applicable
226,31 - 50,Transgender,Single,No formal education or below matric,Labour (Cooking),Medium,Urban area,Yes,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Not Applicable
227,Above 50,Transgender,Single,No formal education or below matric,Labour,Low,Urban area,Yes,No,Yes,Yes,Jazzcash,"To send money, To receive money",Easy to use,No,No,No,No,Yes,Not applicable,Yes,No,Maybe,Without Mobile Application
228,18 - 30,Transgender,Single,Matriculation/ O-Levels,Labour,Low,Urban area,Yes,No,Yes,Yes,Easypaisa,"To send money, To receive money",Easy to use,No,No,No,No,Yes,Not applicable,Yes,No,No,Mobile Application
229,Above 50,Transgender,Single,Bachelors,Labour,Low,Rural area,Yes,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,Yes,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Not Applicable
230,18 - 30,Male,Single,Intermediate/ A-Levels,Business,Medium,Rural area,Yes,No,Yes,Yes,Jazzcash,"To send money, To receive money",Convenience,No,No,No,No,Yes,Scam or security reasons,Yes,Yes,Maybe,Without Mobile Application
231,18 - 30,Male,Single,Intermediate/ A-Levels,Student,Low,Rural area,Yes,No,Yes,Yes,Jazzcash,"To send money, To receive money",Convenience,No,No,No,No,Yes,Scam or security reasons,Maybe,Yes,Maybe,Without Mobile Application
232,Above 50,Male,Married,No formal education or below matric,Labour,Medium,Rural area,Yes,No,Yes,Yes,Jazzcash,Recharge or package activation,Easy to use,No,No,No,No,Yes,Fear of hidden charges,Yes,Yes,Maybe,Without Mobile Application
233,Below 18,Female,Single,Intermediate/ A-Levels,Student,Low,Urban area,Yes,Yes,Yes,Yes,Jazzcash,"To send money, To receive money",Accessibility,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Mobile Application
234,18 - 30,Female,Married,Matriculation/ O-Levels,Business,Medium,Urban area,No,Yes,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Not Applicable 
235,18 - 30,Male,Married,Matriculation/ O-Levels,Corporate Sector,Low,Rural area,No,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Not Applicable 
236,31 - 50,Male,Married,Bachelors,Corporate Sector,High,Urban area,No,Yes,Yes,Yes,Jazzcash,"To send money, To receive money",Convenience,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Mobile Application
237,Above 50,Male,Married,Matriculation/ O-Levels,Labour,Low,Rural area,Maybe,Yes,No,No,Not applicable,Not Applicable,Not applicable,No,No,Yes,No,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Not Applicable 
238,31 - 50,Male,Married,Matriculation/ O-Levels,Business,Medium,Rural area,Maybe,No,Yes,Yes,Jazzcash,"To send money, To receive money",Convenience,No,No,No,No,No,Fear of hidden charges,Maybe,No,Yes,Mobile Application
239,18 - 30,Male,Single,Matriculation/ O-Levels,Corporate Sector,Low,Urban area,Yes,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,Yes,No,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Not Applicable 
240,18 - 30,Male,Married,Matriculation/ O-Levels,Corporate Sector,Medium,Urban area,Maybe,No,Yes,Yes,Jazzcash,To send money,Accessibility,No,No,No,No,Yes,Not applicable,Yes,No,Yes,Without Mobile Application
241,18 - 30,Male,Single,No formal education or below matric,Government Sector,Low,Rural area,No,Yes,Yes,Yes,Easypaisa,"To send money, To receive money",Accessibility,No,No,No,No,Yes,Not applicable,Yes,Maybe,Maybe,Without Mobile Application
242,18 - 30,Female,Single,Bachelors,Student,Low,Urban area,Yes,No,Yes,Yes,Jazzcash,To send money,Service quality,No,No,No,No,Yes,Internet instability or unavailability,Yes,Maybe,Maybe,Mobile Application
243,18 - 30,Female,Married,Bachelors,Homemaker,Low,Urban area,Yes,Yes,Yes,Yes,Easypaisa,To receive money,Accessibility,No,No,Yes,No,Yes,Scam or security reasons,Maybe,Yes,Maybe,Mobile Application
244,18 - 30,Female,Single,Bachelors,Government Sector,Low,Urban area,Yes,Yes,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Not Applicable 
245,18 - 30,Male,Married,No formal education or below matric,Labour,Medium,Rural area,No,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Not Applicable 
246,18 - 30,Male,Single,Matriculation/ O-Levels,Labour,Low,Rural area,Yes,No,Yes,Yes,Easypaisa,Recharge or package activation,Accessibility,No,No,No,No,Yes,Scam or security reasons,Yes,Maybe,Maybe,Mobile Application
247,31 - 50,Male,Married,No formal education or below matric,Labour,Medium,Rural area,Yes,Yes,Yes,Yes,Jazzcash,To send money,Easy to use,Yes,No,No,No,Yes,Scam or security reasons,Maybe,Yes,Maybe,Mobile Application
248,18 - 30,Male,Single,Intermediate/ A-Levels,Student,Low,Rural area,Yes,No,Yes,Yes,Sadapay,To receive money,Convenience,No,No,No,No,Yes,Cultural preference/ habit,Maybe,Maybe,Maybe,Without Mobile Application
249,31 - 50,Male,Married,Diploma,Health Sector,High,Rural area,Yes,Yes,Yes,Yes,Jazzcash,To send money,Easy to use,Yes,No,No,No,Yes,Cultural preference/ habit,Maybe,Maybe,Maybe,Mobile Application
250,18 - 30,Female,Single,Bachelors,Education Sector,Low,Rural area,Yes,No,Yes,Yes,Jazzcash,To receive money,Convenience,No,No,No,No,Yes,Scam or security reasons,Maybe,Maybe,Maybe,Without Mobile Application
251,18 - 30,Male,Single,Bachelors,Corporate Sector,Low,Rural area,Yes,Yes,Yes,Yes,Jazzcash,Recharge or package activation,Convenience,No,No,No,No,Yes,Scam or security reasons,Maybe,Yes,Yes,Mobile Application
252,18 - 30,Male,Single,Intermediate/ A-Levels,Business,Medium,Urban area,Yes,Yes,Yes,Yes,Jazzcash,To receive money,Accessibility,No,No,No,No,Yes,I have a bank account.,Maybe,Maybe,Yes,Mobile Application
253,18 - 30,Male,Single,Intermediate/ A-Levels,Corporate Sector,Low,Urban area,Yes,No,Yes,Yes,Jazzcash,Recharge or package activation,Easy to use,No,No,No,No,Yes,Scam or security reasons,Maybe,Maybe,Yes,Mobile Application
254,31 - 50,Male,Married,No formal education or below matric,Labour,Low,Rural area,Yes,No,Yes,Yes,Jazzcash,To receive money,Convenience,No,No,No,No,Yes,Not applicable,Maybe,Maybe,Maybe,Without Mobile Application
255,31 - 50,Female,Married,No formal education or below matric,Unemployed,Low,Rural area,Yes,No,No,Yes,Jazzcash,To receive money,Convenience,No,No,No,Yes,Yes,Lack of knowledge,Yes,Maybe,Maybe,Without Mobile Application
256,18 - 30,Male,Single,Diploma,Unemployed,Low,Rural area,Yes,Yes,Yes,Yes,Jazzcash,Recharge or package activation,Easy to use,No,No,No,No,Yes,Scam or security reasons,Yes,Maybe,Maybe,Mobile Application
257,31 - 50,Female,Married,No formal education or below matric,Homemaker,Low,Rural area,No,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,Yes,No,Not applicable,Cultural preference/ habit,Maybe,Maybe,Maybe,Not Applicable 
258,31 - 50,Male,Married,Intermediate/ A-Levels,Business,High,Rural area,Yes,Yes,Yes,Yes,Jazzcash,Bill payments,Accessibility,No,No,No,No,Yes,Scam or security reasons,Yes,Yes,Yes,Mobile Application
259,31 - 50,Female,Married,Bachelors,Homemaker,Low,Urban area,Yes,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,Yes,Not applicable,Lack of knowledge,Not applicable,Not applicable,Yes,Not Applicable 
